전체 번호,등급별 번호,등급,분류,대표형,관련형,의미,국제통용 (2단계),문법.표현 교육내용개발(1-4단계),메모(20201030 수정)
119,29,3급,종결어미,-는구나,-구나,,중급,중급,
120,30,3급,종결어미,-는다,"-ㄴ다, -다2",,중급,중급,
121,31,3급,종결어미,-던데2,-던데요,감탄,중급,중급,
122,32,3급,종결어미,-잖아,-잖아요,,중급,중급,
123,33,3급,종결어미,-자3,,청유,고급,중급,
124,34,3급,종결어미,-니2,-으니5,의문,고급,중급,
125,35,3급,표현,-게 하다,"<유의> -게 만들다, -도록 하다",,중급,중급,
126,36,3급,표현,-고 나다,,,중급,중급,
127,37,3급,표현,-고 말다,,,중급,중급,
128,38,3급,표현,-고 싶어 하다,,,중급,중급,
129,39,3급,표현,-은 결과,-ㄴ 결과,,중급,중급,
130,40,3급,표현,-은 다음에,-ㄴ 다음에,,중급,중급,
131,41,3급,표현,-는 대신에,"-ㄴ 대신에, -은 대신에",,중급,중급,
132,42,3급,표현,-는 만큼,"-ㄴ 만큼, -은 만큼, -ㄹ 만큼, -을 만큼",,중급,중급,
133,43,3급,표현,-는 반면,"-ㄴ 반면에, -은 반면에",,중급,중급,
134,44,3급,표현,-나 보다,,,중급,중급,
135,45,3급,표현,-을 텐데,"-ㄹ 텐데, -을 텐데요, -ㄹ 텐데요",,중급,중급,
136,46,3급,표현,-기 위해,"-기 위해서, -기 위한, 을 위해, 를 위해",,중급,중급,
137,47,3급,표현,만 아니면,,,중급,중급,
138,48,3급,표현,-으면 안 되다,"-면 안 되다, <반의> -으면 되다, -면 되다",,중급,중급,
139,49,3급,표현,-으면 좋겠다,-면 좋겠다,,중급,중급,
140,50,3급,표현,-어 가다,"-아 가다, -여 가다",,중급,중급,
141,51,3급,표현,-어 가지고,"-아 가지고, -여 가지고",,중급,중급,
142,52,3급,표현,-어 놓다,"-아 놓다, -여 놓다",,중급,중급,
143,53,3급,표현,-어 두다,"-아 두다, -여 두다",,중급,중급,
144,54,3급,표현,-어 드리다,"-아 드리다, -여 드리다",,중급,중급,
145,55,3급,표현,-어야겠-,"-아야겠-, -여야겠-",,중급,중급,
146,56,3급,표현,-어지다,"-아지다, -여지다",,중급,중급,
147,57,3급,표현,에 대하여,"에 대해, 에 대해서, 에 대한",,중급,중급,
148,58,3급,표현,-을 테니,"-ㄹ 테니, -을 테니까, -ㄹ 테니까",,중급,중급,
149,59,3급,표현,-어 오다,"-아 오다, -여 오다",,중급,중급,
150,60,3급,표현,-기는,"-긴, -기는요, -긴요",,고급,,
151,61,3급,표현,-는 모양이다,"-ㄴ 모양이다, -은 모양이다",,고급,,
152,62,3급,표현,-는 편이다,-는 편이다,,고급,,
153,63,3급,표현,-는가 보다,-는가 보다,,고급,,
154,64,3급,표현,-는 중이다,,,고급,,
155,65,3급,표현,-으려다가,"-려다가, -으려다, 려다",,고급,,
156,66,3급,표현,-어 보이다,"-아보이다, -여 보이다",,고급,,
157,67,3급,표현,-는다고3,"-ㄴ다고3, -다고3, -라고5, -느냐고2, -냐고2, -으냐고2, -자고3, -으라고3, -라고8",인용,고급,,
158,1,4급,조사,커녕,"ㄴ커녕, 는커녕, 은커녕",,중급,중급,
159,2,4급,조사,이나마,나마,,중급,중급,
160,3,4급,조사,이며,"며, 이니, 니1, 하며, 하고, 이다2",나열,중급,중급,
161,4,4급,조사,이든,"든1, 이든지, 든지1, 이든가, 든가1",선택,중급,중급,
162,5,4급,조사,이란,란1,정의,중급,중급,
163,6,4급,조사,이면,면1,지정,중급,중급,
164,7,4급,조사,이야,야2,강조,중급,중급,
165,8,4급,조사,치고,,,중급,중급,
166,9,4급,조사,까지2,,마저,고급,,
167,10,4급,조사,이라도,라도1,차선,고급,,
168,11,4급,조사,으로서,로서,,고급,,
169,12,4급,조사,으로써,로써,,고급,,
170,13,4급,조사,마저,,,고급,,
171,14,4급,연결어미,-거니와,,,중급,중급,
172,15,4급,연결어미,-고도,,,중급,중급,
173,16,4급,연결어미,-고자,,,중급,중급,
174,17,4급,연결어미,-기에,,,중급,중급,
175,18,4급,연결어미,-는지,"-ㄴ지1, -은지1, -을지",의문,고급,,
176,19,4급,연결어미,-다시피,,,중급,중급,
177,20,4급,연결어미,-더라도,,,중급,중급,
178,21,4급,연결어미,-든지2,"-든2, <유의> -든가2",선택,중급,중급,
179,22,4급,연결어미,-으므로,-므로,,중급,중급,
180,23,4급,연결어미,-을래야,-ㄹ래야,,중급,중급,
181,24,4급,연결어미,-고서,"-고서는, -고서야",,고급,중급,
182,25,4급,연결어미,-는다면1,"-ㄴ다면1, -다면1, -라면1",조건,고급,중급,
183,26,4급,연결어미,-더니,,,고급,중급,
184,27,4급,연결어미,-던데1,,"대립, 배경",고급,중급,
185,28,4급,연결어미,-듯이,,,최상급,중급,
186,29,4급,연결어미,-을수록,-ㄹ수록,,고급,,
187,30,4급,연결어미,-으며,-며2,나열/동시,고급,,
188,31,4급,종결어미,-는다니2,"-ㄴ다니2, -다니3, -라니3",의문,중급,중급,
189,32,4급,종결어미,-더군,-더군요,,중급,중급,
190,33,4급,종결어미,-더라,,,중급,중급,
191,34,4급,종결어미,-어라1,"-아라1, -여라1",명령,중급,중급,
192,35,4급,종결어미,-게5,-게요1,의문,고급,중급,
193,36,4급,종결어미,-는다면서1,"-ㄴ다면서1, -다면서1, -라면서1, -는다면서요, -다면서요, -라면서요",의문,고급,중급,
194,37,4급,종결어미,-나3,-나요,의문,고급,중급,20201117 관련어에 형용사 결합형 추가
195,38,4급,종결어미,-을걸,"-ㄹ걸, -을걸요, -ㄹ걸요",,고급,중급,
196,39,4급,종결어미,-어야지2,"-아야지2, -여야지2, -어야지요, -아야지요, -여야지요",,고급,중급,
197,40,4급,종결어미,-고4,-고요,덧붙여 질문,중급,중급,
198,41,4급,종결어미,-다니1,"-다니요, -라니1, -라니요1",,고급,,
199,42,4급,표현,-을 따름이다,"-ㄹ 따름이다, <유의> -을 뿐이다, ㄹ 뿐이다",,중급,중급,
200,43,4급,표현,-고 들다,,,중급,중급,
201,44,4급,표현,-고 보다,,,중급,중급,
202,45,4급,표현,-고 해서,,,중급,중급,
203,46,4급,표현,-는 김에,"-ㄴ 김에, -은 김에",,중급,중급,
204,47,4급,표현,-는 대로,"-ㄴ 대로1, -ㄴ 대로2, -은 대로1, -은 대로2",,중급,중급,
205,48,4급,표현,-는 사이에,-는 사이,,중급,중급,
206,49,4급,표현,-는 듯,"-ㄴ 듯, 은 듯 -ㄹ 듯, -을 듯",,중급,중급,
207,50,4급,표현,-는 줄,"-ㄴ 줄, -은 줄, ㄹ 줄, -을 줄",,중급,중급,
208,51,4급,표현,-는 탓에,"-ㄴ 탓에, -은 탓에, <반의 관계> -는 덕분에",,중급,중급,
209,52,4급,표현,-는다거나2,"-ㄴ다거나2, -다거나2, -라거나2",선택,중급,중급,
210,53,4급,표현,-나 싶다,,,중급,중급,
211,54,4급,표현,-는 바람에,,,중급,중급,
212,55,4급,표현,-는 한,,,중급,중급,
213,56,4급,표현,으로 인하여,"로 인하여, 으로 인해, 로 인해",,중급,중급,
214,57,4급,표현,만 같아도,,,중급,중급,
215,58,4급,표현,-어 대다,"-아 대다, -여 대다",,중급,중급,
216,59,4급,표현,-어서인지,"-아서인지, -여서인지",,중급,중급,
217,60,4급,표현,에 따라,에 따르면,,중급,중급,
218,61,4급,표현,에 비하여,에 비하면,,중급,중급,
219,62,4급,표현,에 의하여,에 의하면,,중급,중급,
220,63,4급,표현,-어 버리다,"-아 버리다, -여 버리다",,중급,중급,
221,64,4급,표현,-을 모양이다,-ㄹ 모양이다,,고급,,
222,65,4급,표현,-을 뻔하다,-ㄹ 뻔하다,,고급,,
223,66,4급,표현,-는대2,"-ㄴ대2, -는대요2, -대2, -대요2, -래2, -래요2, -으래2, -으래요2, -래4, -재, -재요",인용,고급,,
224,67,4급,표현,-는 통에,,,최상급,,
225,1,5급,조사,이라든가,"라든가1, 이라든지, 라든지1",선택,중급,,
226,2,5급,조사,따라,,,고급,,
227,3,5급,조사,조차,,,고급,,
228,4,5급,연결어미,-지1,,대조,초급,,
229,5,5급,연결어미,-을뿐더러,-ㄹ뿐더러,,중급,,
230,6,5급,연결어미,-고는,"-곤, -고는 하다, -곤 하다",,고급,,
231,7,5급,연결어미,-길래,,,고급,,
232,8,5급,연결어미,-다가는 ,"-다간, -단1",,고급,,
233,9,5급,연결어미,-을지라도,-ㄹ지라도,,고급,,
234,10,5급,연결어미,-느니1,"-느니보다, -느니보다는",비교,고급,,
235,11,5급,종결어미,-네2,,감탄,중급,,
236,12,5급,종결어미,-다4,,서술(신문),중급,,
237,13,5급,종결어미,-다니1,"-다니요, -라니1, -라니요1, 으라니1, -으라니요",감탄,중급,,
238,14,5급,종결어미,­으려고2,"­려고2, ­려고요, ­으려고요",의심,중급,,
239,15,5급,종결어미,-거라,,,고급,,
240,16,5급,종결어미,-고말고,-고말고요,,고급,,
241,17,5급,종결어미,-는가1,"-ㄴ가1, -은가1",의문,고급,,
242,18,5급,종결어미,-는걸,"-ㄴ걸, -은걸, -ㄴ걸요, -는걸요, -은걸요",,고급,,
243,19,5급,종결어미,-데,-데요,,고급,,
244,20,5급,종결어미,-더라고,-더라고요,,고급,,
245,21,5급,표현,-는다니1,"-다니2, -라니5, -으라니2, -자니2",명령 내용 질문,중급,,
246,22,5급,표현,-었던,"-았던, -였던",,중급,,
247,23,5급,표현,에 관하여 ,에 관한,,중급,,
248,24,5급,표현,-자기에,,,중급,,
249,25,5급,표현,-게 마련이다,-기 마련이다,,고급,,
250,26,5급,표현,-게 생겼다,,,고급,,
251,27,5급,표현,-기 나름이다,-을 나름이다,,고급,,
252,28,5급,표현,-기가 바쁘게,<유의> -기가 무섭게,,고급,,
253,29,5급,표현,-기가 쉽다,<유의> -기 십상이다,,고급,,
254,30,5급,표현,-기만 하다,,,고급,,
255,31,5급,표현,-기에 따라,,,고급,,
256,32,5급,표현,-기에 앞서(서),,,고급,,
257,33,5급,표현,-은 나머지,-ㄴ 나머지,,고급,,
258,34,5급,표현,-는 데다가,"-ㄴ데다가1, -은 데다가2, -ㄴ 데다가2, -은 데다가1",,고급,,
259,35,5급,표현,-는 동시에,-ㄴ 동시에,,고급,,
260,36,5급,표현,-는 듯하다,"-ㄴ듯하다, -은 듯하다, -ㄹ 듯하다, -을 듯하다",,고급,,
261,37,5급,표현,-는 법이다,"-ㄴ 법이다, -은 법이다",,고급,,
262,38,5급,표현,-는 이상,"-ㄴ 이상, -은 이상",,고급,,
263,39,5급,표현,-은 채로,-ㄴ 채로,,고급,,
264,40,5급,표현,-는 척하다,"-ㄴ 척하다, -은 척하다, <유의> -는 체하다, -은 체하다",,고급,,
265,41,5급,표현,-는 가운데,-은 가운데,,고급,,
266,42,5급,표현,는 말할 것도 없고,"은 말할 것도 없고, <유의> 는 고사하고, 은 고사하고",,고급,,
267,43,5급,표현,-을 만하다,-ㄹ 만하다,,고급,,
268,44,5급,표현,-을 법하다,-ㄹ 법하다,,고급,,
269,45,5급,표현,-을 테다,-ㄹ 테다,,고급,,
270,46,5급,표현,-을 테면,-ㄹ 테면,,고급,,
271,47,5급,표현,-을 테지만,-ㄹ 테지만,,고급,,
272,48,5급,표현,-으려나 보다,-려나 보다,,고급,,
273,49,5급,표현,를 가지고,을 가지고,,고급,,
274,50,5급,표현,-으면 몰라도,-면 몰라도,,고급,,
275,51,5급,표현,에도 불구하고,,,고급,,
276,52,5급,표현,-는데도,"-ㄴ데도, -은데도",,고급,,
277,53,5급,표현,-어 내다,"-아 내다, -여 내다",,고급,,
278,54,5급,표현,-는다기에,"-ㄴ다기에, -다기에, -라기에1",이유,고급,,
279,55,5급,표현,-는다는 것이,-ㄴ다는 것이,,고급,,
280,56,5급,표현,-는데도 불구하고,"-ㄴ데도 불구하고, -은데도 불구하고",,최상급,,
281,1,6급,조사,마는,만2,상반,중급,,
282,2,6급,조사,깨나,,,고급,,
283,3,6급,조사,이라고2,라고2,보잘것없음,고급,,
284,4,6급,조사,을랑,,,고급,,
285,5,6급,조사,이라면,라면1,강조,고급,,
286,6,6급,연결어미,-거들랑1,-걸랑1,,중급,,
287,7,6급,연결어미,-노라면,,,중급,,
288,8,6급,연결어미,-건대,,,고급,,
289,9,6급,연결어미,-건만,-건마는,,고급,,
290,10,6급,연결어미,-기로서니,,,고급,,
291,11,6급,연결어미,-느니만큼,"-니만큼, -으니만큼, <유의> -느니만치, 니만치, -으니만치",,고급,,
292,12,6급,연결어미,-되,"-으되, -로되",,고급,,
293,13,6급,연결어미,-디1,,강조,고급,,
294,14,6급,연결어미,-이라야,"-라야, -이라야만, -라야만",,고급,,
295,15,6급,연결어미,-으련마는,"-련마는, -으련만, -련만",,고급,,
296,16,6급,연결어미,-자니3,"-자2,-자니까3 ",의도,중급,,
297,17,6급,연결어미,-는다고1,"-다고1, -라고3, 으라고1, -자고1",의도,고급,,
298,18,6급,연결어미,-자면1,,의도,고급,,
299,19,6급,연결어미,-은들 ,"-ㄴ들2, 인들",양보,최상급,,
300,20,6급,연결어미,"-을망정,","-ㄹ망정 <유의> -ㄹ지언정, -을지언정",,최상급,,
301,21,6급,연결어미,-을라치면,-ㄹ라치면,,최상급,,
302,22,6급,종결어미,-는구려,-구려1,감탄,중급,,
303,23,6급,종결어미,-는구먼,"-구먼, -구먼요, -는구먼요",,중급,,
304,24,6급,종결어미,-그려,,,중급,,
305,25,6급,종결어미,-으리라,-리라,,중급,,
306,26,6급,종결어미,-으오,-오,,중급,,
307,27,6급,종결어미,-으니4,,비난,중급,,
308,28,6급,종결어미,-거들랑2 ,-걸랑2,이유,고급,,
309,29,6급,종결어미,-게3,,명령,고급,,
310,30,6급,종결어미,-게4,,환기,고급,,
311,31,6급,종결어미,-구려2,,명령,고급,,
312,32,6급,종결어미,-네1,,서술,고급,,
313,33,6급,종결어미,-는구만,-구만,,고급,,
314,34,6급,종결어미,-는가2,"-ㄴ가2, -은가2",문제 제기,고급,,
315,35,6급,종결어미,-나2,,의문,고급,,"20201117 동형어번호 수정(3-->2), 오기재 관련어 정보 삭제"
316,36,6급,종결어미,-던2,,의문,고급,,
317,37,6급,종결어미,-던가1,,의문(경험),고급,,
318,38,6급,종결어미,-던가2,,의문(추측),고급,,
319,39,6급,종결어미,-라2,,서술,고급,,
320,40,6급,종결어미,-으리오,-리오,,고급,,
321,41,6급,종결어미,-소,,,고급,,
322,42,6급,표현,-기 일쑤이다,,,고급,,
323,43,6급,표현,-기 짝이 없다,,,고급,,
324,44,6급,표현,는 마당에,"-ㄴ 마당에, -은 마당에",,고급,,
325,45,6급,표현,-는 한이 있어도,-는 한이 있더라도,,고급,,
326,46,6급,표현,-을 바에,-ㄹ 바에,,고급,,
327,47,6급,표현,-으려도,-려도,,고급,,
328,48,6급,표현,-으리라는,-리라는,,고급,,
329,49,6급,표현,를 막론하고,"을 막론하고, <유의> 를 불문하고, 을 불문하고",,고급,,
330,50,6급,표현,-어 치우다,"-아 치우다, -여 치우다",,고급,,
331,51,6급,표현,-는다는,"-ㄴ다는, -는단, -다는, -단2, -라는1, -란2",,고급,,
332,52,6급,표현,이라고는,"라고는, 이라곤, 라곤,",,고급,,
333,53,6급,표현,-는다던가1,"-다던가1, -라던가1",명령 확인 질문,고급,,
334,54,6급,표현,-으래서야,-래서야2,의문 제기,고급,,
335,55,6급,표현,-으리라고,-리라고,,고급,,
336,56,6급,표현,-자면2,,권유,고급,,
