Word,Level
ㄴ,TOPIK1
ㄴ다,TOPIK2
ㄹ,TOPIK1
ㄹ수록,TOPIK4
ㄹ퀴다,TOPIK6
ㅁ,TOPIK3
가,TOPIK1
가격,TOPIK1
가계,TOPIK6
가곡,TOPIK5
가공,TOPIK5
가구,TOPIK1
가급,TOPIK5
가급적,TOPIK5
가까스로,TOPIK6
가까이가까이,TOPIK2
가깝,TOPIK1
가꾸,TOPIK3
가끔,TOPIK2
가난,TOPIK3
가냘프다,TOPIK6
가누,TOPIK6
가느,TOPIK5
가늘,TOPIK2
가늠,TOPIK6
가능,TOPIK3
가능성,TOPIK4
가다,TOPIK1
가다듬,TOPIK6
가닥,TOPIK5
가담,TOPIK6
가동,TOPIK6
가득,TOPIK2
가득히,TOPIK3
가라앉,TOPIK4
가라앉히,TOPIK6
가량,TOPIK4
가려내,TOPIK6
가렵,TOPIK3
가령,TOPIK6
가로가,TOPIK3
가로등,TOPIK4
가로막,TOPIK4
가로수,TOPIK5
가로지르다,TOPIK6
가로채다,TOPIK6
가루,TOPIK3
가르,TOPIK1
가르침,TOPIK6
가리,TOPIK3
가리키,TOPIK2
가만,TOPIK4
가만있,TOPIK4
가만히,TOPIK4
가문,TOPIK5
가뭄,TOPIK4
가방,TOPIK1
가볍,TOPIK1
가부장적가부장적,TOPIK5
가쁘다,TOPIK6
가사,TOPIK4
가상,TOPIK6
가설,TOPIK6
가세,TOPIK6
가속,TOPIK6
가속화,TOPIK5
가수,TOPIK1
가스,TOPIK3
가스레인지,TOPIK3
가슴,TOPIK2
가습기,TOPIK3
가시,TOPIK5
가시다,TOPIK5
가식적가식적,TOPIK6
가야금,TOPIK5
가열,TOPIK6
가엾,TOPIK6
가옥,TOPIK5
가요,TOPIK1
가요계,TOPIK5
가운데,TOPIK1
가위,TOPIK2
가을,TOPIK1
가입,TOPIK3
가입자,TOPIK3
가장,TOPIK1
가장자리,TOPIK5
가전,TOPIK3
가정,TOPIK3
가져,TOPIK2
가져가다,TOPIK2
가져다주다,TOPIK4
가족,TOPIK1
가죽,TOPIK3
가중,TOPIK5
가지,TOPIK1
가지런히,TOPIK5
가짜,TOPIK4
가창력,TOPIK5
가책,TOPIK6
가축,TOPIK5
가출,TOPIK6
가치,TOPIK4
가치관,TOPIK4
가톨릭,TOPIK4
가파르,TOPIK6
가하,TOPIK6
가해자,TOPIK5
가혹,TOPIK6
가훈,TOPIK6
가히,TOPIK6
각,TOPIK2
각각,TOPIK2
각계,TOPIK6
각광,TOPIK5
각국,TOPIK4
각기,TOPIK6
각도,TOPIK6
각박하,TOPIK6
각별,TOPIK6
각본,TOPIK6
각성,TOPIK6
각양각색,TOPIK6
각오,TOPIK4
각자각,TOPIK3
각종,TOPIK4
각지,TOPIK5
각층,TOPIK6
각형,TOPIK6
간,TOPIK2
간간이,TOPIK5
간격,TOPIK4
간결,TOPIK5
간과,TOPIK6
간단,TOPIK2
간담회,TOPIK6
간략하다,TOPIK6
간밤,TOPIK6
간부,TOPIK6
간섭,TOPIK4
간식,TOPIK2
간신,TOPIK4
간장,TOPIK2
간적,TOPIK5
간절,TOPIK4
간접,TOPIK5
간접적간접,TOPIK4
간주,TOPIK6
간지,TOPIK4
간직,TOPIK5
간첩,TOPIK6
간판,TOPIK3
간편,TOPIK4
간호,TOPIK3
간호사,TOPIK2
간혹간혹,TOPIK4
갇히,TOPIK4
갈다,TOPIK3
갈대,TOPIK5
갈등,TOPIK4
갈라지다,TOPIK4
갈래,TOPIK6
갈망,TOPIK6
갈비,TOPIK1
갈비탕,TOPIK1
갈색,TOPIK2
갈아,TOPIK1
갈아입,TOPIK2
갈증,TOPIK3
갈피,TOPIK6
감,TOPIK1
감각,TOPIK3
감격,TOPIK5
감금,TOPIK6
감기,TOPIK1
감다,TOPIK2
감당,TOPIK6
감독,TOPIK3
감돌다,TOPIK6
감동,TOPIK3
감동적감동적,TOPIK3
감량,TOPIK6
감면,TOPIK6
감명,TOPIK6
감미롭다,TOPIK5
감사,TOPIK1
감상,TOPIK3
감상문,TOPIK4
감상적감상적,TOPIK5
감성,TOPIK5
감소,TOPIK4
감소세,TOPIK6
감수,TOPIK6
감수성,TOPIK6
감시,TOPIK4
감안,TOPIK6
감언이설,TOPIK6
감염,TOPIK5
감옥,TOPIK4
감원,TOPIK6
감자,TOPIK2
감정,TOPIK3
감정적감정,TOPIK5
감지,TOPIK6
감쪽,TOPIK6
감촉,TOPIK6
감추다,TOPIK4
감축,TOPIK6
감탄,TOPIK5
감탄사,TOPIK5
감하,TOPIK6
감회,TOPIK6
감히,TOPIK4
갑,TOPIK5
갑갑하,TOPIK5
갑자기,TOPIK2
갑작,TOPIK4
값,TOPIK1
값어치,TOPIK6
값지,TOPIK5
갓,TOPIK6
강,TOPIK2
강간,TOPIK6
강국,TOPIK5
강기,TOPIK5
강당,TOPIK5
강대국,TOPIK5
강도,TOPIK4
강력,TOPIK5
강렬하,TOPIK5
강물,TOPIK3
강사,TOPIK3
강산,TOPIK5
강세,TOPIK6
강수량,TOPIK4
강아지,TOPIK2
강압,TOPIK6
강연,TOPIK5
강요,TOPIK4
강우량,TOPIK5
강의,TOPIK4
강의실,TOPIK4
강인하,TOPIK6
강자,TOPIK5
강점,TOPIK6
강제,TOPIK4
강제적,TOPIK6
강조,TOPIK4
강좌,TOPIK5
강직하,TOPIK6
강풍,TOPIK5
강하,TOPIK2
강행,TOPIK6
강화,TOPIK5
갖,TOPIK2
갖가지,TOPIK4
갖은,TOPIK5
갖추,TOPIK4
같,TOPIK1
같다,TOPIK6
같이,TOPIK1
갚,TOPIK2
개,TOPIK1
개강,TOPIK5
개개인,TOPIK5
개관,TOPIK6
개괄적개,TOPIK6
개구리,TOPIK4
개국,TOPIK5
개그,TOPIK6
개나리,TOPIK3
개념,TOPIK4
개다,TOPIK3
개량,TOPIK6
개막,TOPIK6
개막식,TOPIK5
개미,TOPIK4
개발,TOPIK4
개방,TOPIK4
개방적,TOPIK5
개별,TOPIK4
개봉,TOPIK5
개선,TOPIK4
개설,TOPIK5
개성,TOPIK4
개수,TOPIK5
개시,TOPIK6
개신교,TOPIK6
개업,TOPIK5
개요,TOPIK5
개운하,TOPIK6
개월,TOPIK2
개인,TOPIK3
개인적개인,TOPIK3
개입,TOPIK6
개작,TOPIK6
개장,TOPIK5
개정,TOPIK6
개조,TOPIK5
개척,TOPIK5
개체,TOPIK6
개최,TOPIK4
개통,TOPIK5
개편,TOPIK6
개표,TOPIK6
개혁,TOPIK4
객,TOPIK4
객관적객관,TOPIK4
객석,TOPIK5
객실,TOPIK5
걔,TOPIK3
거,TOPIK2
거금,TOPIK6
거기,TOPIK1
거꾸로,TOPIK3
거느리다,TOPIK5
거닐다,TOPIK5
거대,TOPIK4
거동,TOPIK6
거두,TOPIK4
거들,TOPIK4
거듭,TOPIK6
거뜬,TOPIK6
거래,TOPIK4
거래처,TOPIK4
거론,TOPIK6
거룩,TOPIK6
거르,TOPIK6
거리,TOPIK2
거만,TOPIK5
거문,TOPIK6
거미,TOPIK4
거부,TOPIK5
거부감,TOPIK6
거북이,TOPIK4
거북하,TOPIK6
거세다,TOPIK5
거스,TOPIK3
거슬리,TOPIK6
거시,TOPIK6
거실,TOPIK1
거액,TOPIK5
거울,TOPIK2
거의거,TOPIK2
거인,TOPIK5
거절,TOPIK2
거주,TOPIK5
거주자,TOPIK5
거지,TOPIK4
거짓,TOPIK4
거짓말,TOPIK2
거창,TOPIK6
거처,TOPIK6
거치,TOPIK4
거칠다,TOPIK4
거침없이,TOPIK6
거품,TOPIK3
걱정,TOPIK2
건,TOPIK5
건강,TOPIK1
건건,TOPIK5
건국,TOPIK5
건기,TOPIK5
건너,TOPIK2
건너가,TOPIK2
건너편,TOPIK1
건널목,TOPIK3
건네,TOPIK4
건네주다,TOPIK4
건드리,TOPIK4
건립,TOPIK6
건망증,TOPIK5
건물,TOPIK1
건방,TOPIK6
건설,TOPIK4
건설업,TOPIK5
건성,TOPIK6
건수,TOPIK5
건장,TOPIK6
건전,TOPIK6
건전지,TOPIK4
건조,TOPIK3
건지,TOPIK4
건축,TOPIK4
건축가,TOPIK5
건축물,TOPIK5
걷,TOPIK1
걷잡,TOPIK6
걸레,TOPIK3
걸려들,TOPIK6
걸림돌,TOPIK6
걸맞,TOPIK6
걸어,TOPIK2
걸음,TOPIK2
걸음걸,TOPIK5
걸작,TOPIK6
걸치다,TOPIK4
걸터앉,TOPIK6
걸핏하면,TOPIK6
검,TOPIK3
검거,TOPIK6
검문,TOPIK6
검사,TOPIK2
검색,TOPIK3
검소,TOPIK6
검은색,TOPIK2
검정,TOPIK2
검증,TOPIK6
검진,TOPIK5
검찰,TOPIK6
검토,TOPIK3
겁,TOPIK3
겁나다,TOPIK4
것,TOPIK1
겉,TOPIK2
겉모습,TOPIK4
겉보기,TOPIK5
겉옷,TOPIK3
게,TOPIK1
게다가,TOPIK4
게시,TOPIK3
게시판,TOPIK3
게으르,TOPIK2
게을리하,TOPIK6
게임,TOPIK1
게재,TOPIK6
겨,TOPIK5
겨냥,TOPIK6
겨누다,TOPIK6
겨드랑이,TOPIK5
겨루다,TOPIK6
겨우,TOPIK3
겨울,TOPIK1
겨울철,TOPIK4
격격,TOPIK5
격려,TOPIK4
격렬하,TOPIK5
격리,TOPIK6
격세,TOPIK6
격식,TOPIK5
격언,TOPIK6
격주,TOPIK6
격차,TOPIK6
겪,TOPIK4
견,TOPIK6
견고,TOPIK6
견디,TOPIK4
견문,TOPIK6
견본,TOPIK6
견제,TOPIK6
견주다,TOPIK6
견학,TOPIK4
견해,TOPIK4
결과,TOPIK2
결국결국,TOPIK3
결근,TOPIK4
결단,TOPIK6
결단력,TOPIK6
결론,TOPIK4
결말,TOPIK5
결별,TOPIK5
결부,TOPIK6
결산,TOPIK6
결석,TOPIK2
결선,TOPIK6
결성,TOPIK6
결속,TOPIK6
결승,TOPIK4
결승선,TOPIK6
결승전,TOPIK5
결실,TOPIK5
결심,TOPIK2
결여,TOPIK6
결의,TOPIK6
결재,TOPIK5
결점,TOPIK6
결정,TOPIK2
결정적,TOPIK5
결제,TOPIK3
결책,TOPIK4
결코,TOPIK4
결핍,TOPIK6
결함,TOPIK6
결합,TOPIK4
결혼,TOPIK2
결혼식,TOPIK2
결혼식장,TOPIK4
겸,TOPIK5
겸손,TOPIK4
겸하,TOPIK5
겸허,TOPIK6
겹,TOPIK5
겹치,TOPIK4
경,TOPIK5
경각심,TOPIK6
경건하,TOPIK6
경계,TOPIK4
경고,TOPIK4
경고문,TOPIK6
경공업,TOPIK6
경과,TOPIK5
경관,TOPIK6
경기,TOPIK2
경기장,TOPIK3
경력,TOPIK4
경련,TOPIK6
경로,TOPIK6
경매,TOPIK6
경멸,TOPIK6
경보,TOPIK6
경복궁,TOPIK3
경비,TOPIK3
경비실,TOPIK3
경사,TOPIK6
경시,TOPIK6
경악,TOPIK6
경연,TOPIK6
경영,TOPIK4
경영자,TOPIK5
경영진,TOPIK6
경영학,TOPIK5
경우,TOPIK3
경위,TOPIK5
경유,TOPIK6
경이,TOPIK6
경쟁,TOPIK4
경쟁력,TOPIK4
경쟁률,TOPIK5
경쟁적,TOPIK5
경전,TOPIK6
경제,TOPIK3
경제권,TOPIK6
경제력,TOPIK4
경제성,TOPIK6
경제적경제,TOPIK3
경제학,TOPIK5
경조사,TOPIK5
경주,TOPIK5
경지,TOPIK6
경직,TOPIK6
경찰,TOPIK2
경찰관,TOPIK3
경찰서,TOPIK2
경찰청,TOPIK5
경청,TOPIK6
경치,TOPIK2
경쾌,TOPIK5
경품,TOPIK5
경향,TOPIK4
경험,TOPIK2
경험담,TOPIK5
경호,TOPIK5
곁,TOPIK3
곁눈질,TOPIK6
계,TOPIK1
계곡,TOPIK3
계급,TOPIK5
계기,TOPIK4
계단,TOPIK2
계란,TOPIK2
계발,TOPIK5
계산,TOPIK2
계산기,TOPIK4
계산대,TOPIK4
계속,TOPIK1
계승,TOPIK6
계시,TOPIK1
계약,TOPIK3
계약금,TOPIK3
계열,TOPIK5
계적,TOPIK6
계절,TOPIK1
계좌,TOPIK3
계층,TOPIK4
계통,TOPIK6
계획,TOPIK1
계획적계획,TOPIK5
고,TOPIK3
고가,TOPIK6
고가품,TOPIK5
고갈,TOPIK6
고개,TOPIK2
고객,TOPIK3
고교생,TOPIK5
고구려,TOPIK5
고구마,TOPIK3
고국,TOPIK4
고궁,TOPIK3
고귀,TOPIK6
고급,TOPIK4
고기,TOPIK1
고기압,TOPIK5
고기잡이,TOPIK6
고난,TOPIK6
고다,TOPIK6
고단,TOPIK5
고달프,TOPIK6
고대,TOPIK4
고도,TOPIK5
고독,TOPIK4
고되,TOPIK6
고등,TOPIK4
고등어,TOPIK4
고등학교,TOPIK2
고등학생,TOPIK2
고래,TOPIK4
고려,TOPIK4
고령,TOPIK6
고령화,TOPIK6
고루,TOPIK6
고르다,TOPIK1
고리,TOPIK3
고립,TOPIK6
고마워,TOPIK4
고맙다,TOPIK1
고모,TOPIK2
고무,TOPIK4
고무신,TOPIK6
고민,TOPIK2
고발,TOPIK5
고백,TOPIK3
고비,TOPIK6
고사,TOPIK6
고상하다,TOPIK5
고생,TOPIK3
고생스,TOPIK5
고소,TOPIK5
고소득,TOPIK6
고소하,TOPIK4
고속,TOPIK3
고속버스,TOPIK2
고수,TOPIK6
고스란히,TOPIK6
고심,TOPIK6
고아,TOPIK5
고아원,TOPIK5
고안,TOPIK6
고약하,TOPIK6
고양이,TOPIK1
고온,TOPIK5
고요,TOPIK4
고용,TOPIK6
고원,TOPIK5
고위,TOPIK6
고유,TOPIK4
고의,TOPIK6
고이,TOPIK5
고작,TOPIK5
고장,TOPIK2
고전,TOPIK4
고정,TOPIK4
고조,TOPIK6
고졸,TOPIK5
고지서,TOPIK5
고진감래,TOPIK6
고집,TOPIK4
고찰,TOPIK6
고체,TOPIK5
고추,TOPIK3
고추장,TOPIK2
고춧가루,TOPIK3
고충,TOPIK6
고층,TOPIK4
고치,TOPIK2
고통,TOPIK4
고프,TOPIK1
고학력,TOPIK5
고함,TOPIK6
고향,TOPIK1
고혈압,TOPIK5
곡,TOPIK4
곡물,TOPIK5
곡선,TOPIK5
곡식,TOPIK4
곤경,TOPIK6
곤궁,TOPIK6
곤두세우,TOPIK6
곤란,TOPIK3
곤욕,TOPIK6
곤충,TOPIK5
곧,TOPIK2
곧다,TOPIK4
곧바로,TOPIK4
곧이어,TOPIK3
곧잘,TOPIK4
곧장,TOPIK3
골,TOPIK4
골고루,TOPIK3
골다,TOPIK4
골대,TOPIK6
골동품,TOPIK5
골머리,TOPIK6
골목,TOPIK3
골목길,TOPIK3
골짜기,TOPIK6
골치,TOPIK5
골칫,TOPIK6
골프,TOPIK3
곪다,TOPIK6
곰,TOPIK3
곰곰이,TOPIK6
곰팡,TOPIK6
곱,TOPIK1
곱슬머리,TOPIK5
곱하,TOPIK3
곳,TOPIK1
곳곳,TOPIK3
공,TOPIK2
공간,TOPIK3
공간적,TOPIK6
공감,TOPIK4
공감대,TOPIK5
공개,TOPIK4
공개적공개,TOPIK6
공격,TOPIK4
공경,TOPIK5
공고,TOPIK5
공고문,TOPIK5
공공,TOPIK3
공공연,TOPIK6
공과금,TOPIK3
공교육,TOPIK5
공군,TOPIK5
공권력,TOPIK6
공급,TOPIK4
공기,TOPIK3
공동,TOPIK3
공동체,TOPIK4
공략,TOPIK6
공로,TOPIK6
공룡,TOPIK5
공립,TOPIK6
공모,TOPIK6
공무원,TOPIK2
공문,TOPIK5
공방,TOPIK6
공백,TOPIK6
공부,TOPIK1
공사,TOPIK3
공사장,TOPIK5
공산주의,TOPIK6
공산품,TOPIK6
공상,TOPIK5
공세,TOPIK6
공손하다,TOPIK4
공식,TOPIK3
공식적공,TOPIK5
공약,TOPIK6
공업,TOPIK4
공연,TOPIK3
공연장,TOPIK3
공연히,TOPIK6
공예,TOPIK5
공용어,TOPIK6
공원,TOPIK1
공유,TOPIK5
공익,TOPIK5
공장,TOPIK2
공적공,TOPIK4
공정,TOPIK6
공정성,TOPIK6
공존,TOPIK6
공주,TOPIK3
공중,TOPIK5
공중전화,TOPIK3
공지,TOPIK4
공직,TOPIK6
공짜,TOPIK2
공책,TOPIK1
공터,TOPIK6
공통,TOPIK3
공통적공통,TOPIK5
공통점,TOPIK3
공평,TOPIK5
공포,TOPIK3
공포감,TOPIK5
공학,TOPIK5
공항,TOPIK1
공해,TOPIK4
공허하,TOPIK6
공헌,TOPIK6
공휴일,TOPIK2
과,TOPIK3
과감,TOPIK6
과감하,TOPIK5
과거,TOPIK2
과격하,TOPIK6
과녁,TOPIK6
과다,TOPIK6
과대평가,TOPIK5
과도하,TOPIK5
과로,TOPIK3
과목,TOPIK3
과민,TOPIK6
과반수,TOPIK5
과보호,TOPIK5
과부,TOPIK6
과소비,TOPIK4
과소평가,TOPIK5
과속,TOPIK4
과시,TOPIK6
과식,TOPIK3
과언,TOPIK5
과연,TOPIK4
과열,TOPIK6
과외,TOPIK4
과음,TOPIK5
과일,TOPIK1
과잉,TOPIK6
과자,TOPIK2
과장,TOPIK3
과정,TOPIK3
과제,TOPIK4
과찬,TOPIK6
과하,TOPIK5
과학,TOPIK3
과학자,TOPIK3
과학적,TOPIK4
관,TOPIK3
관객,TOPIK3
관계,TOPIK2
관계없이,TOPIK3
관계자,TOPIK4
관공,TOPIK5
관광,TOPIK2
관광객,TOPIK2
관광지,TOPIK2
관념,TOPIK6
관대하,TOPIK5
관람,TOPIK3
관람객,TOPIK3
관련,TOPIK3
관련자,TOPIK6
관례,TOPIK6
관료,TOPIK6
관리,TOPIK3
관세,TOPIK6
관습,TOPIK5
관심,TOPIK2
관심사,TOPIK4
관여,TOPIK6
관용,TOPIK5
관용어,TOPIK5
관용적관용,TOPIK6
관절,TOPIK6
관점,TOPIK4
관중,TOPIK5
관직,TOPIK6
관찰,TOPIK3
관청,TOPIK5
관측,TOPIK6
관하,TOPIK5
관행,TOPIK6
관형사,TOPIK5
관혼,TOPIK6
괄적,TOPIK6
광경,TOPIK3
광고,TOPIK2
광범위,TOPIK6
광복,TOPIK6
광부,TOPIK6
광업,TOPIK6
광장,TOPIK5
광주,TOPIK2
광활,TOPIK6
괜찮다,TOPIK1
괜히,TOPIK4
괴로,TOPIK4
괴로워하,TOPIK4
괴롭,TOPIK4
괴롭히,TOPIK4
괴물,TOPIK5
굉장,TOPIK4
굉장히,TOPIK3
교감,TOPIK6
교과,TOPIK5
교과서,TOPIK2
교내,TOPIK4
교대,TOPIK4
교도소,TOPIK5
교란,TOPIK6
교류,TOPIK4
교묘하,TOPIK6
교무실,TOPIK5
교복,TOPIK4
교사,TOPIK2
교섭,TOPIK6
교수,TOPIK2
교시,TOPIK3
교실,TOPIK1
교양,TOPIK4
교외,TOPIK3
교원,TOPIK5
교육,TOPIK2
교육부,TOPIK5
교육비,TOPIK4
교육열,TOPIK5
교육자,TOPIK4
교육적교,TOPIK5
교장,TOPIK4
교재,TOPIK4
교정,TOPIK6
교제,TOPIK5
교직,TOPIK5
교체,TOPIK4
교통,TOPIK1
교통비,TOPIK2
교통편,TOPIK3
교포,TOPIK3
교환,TOPIK2
교활하,TOPIK6
교회,TOPIK2
교훈,TOPIK4
교훈적교,TOPIK5
구,TOPIK3
구간,TOPIK5
구걸,TOPIK6
구겨지다,TOPIK5
구경,TOPIK1
구경꾼,TOPIK5
구구,TOPIK1
구급차,TOPIK5
구기,TOPIK6
구기다,TOPIK6
구내식당,TOPIK5
구니,TOPIK5
구독,TOPIK5
구두,TOPIK1
구두쇠,TOPIK5
구려,TOPIK4
구르다,TOPIK4
구름,TOPIK2
구리,TOPIK5
구매,TOPIK4
구매자,TOPIK5
구멍,TOPIK3
구박,TOPIK5
구별,TOPIK4
구부리,TOPIK4
구분,TOPIK4
구불구불하다구불구불하다,TOPIK6
구비,TOPIK5
구사,TOPIK5
구상,TOPIK5
구석,TOPIK4
구성,TOPIK4
구성원,TOPIK5
구세대,TOPIK4
구속,TOPIK4
구수하다,TOPIK3
구슬,TOPIK6
구실,TOPIK6
구십구십,TOPIK1
구애,TOPIK5
구어,TOPIK6
구역,TOPIK3
구원,TOPIK6
구월,TOPIK1
구인,TOPIK5
구인난,TOPIK6
구입,TOPIK3
구절,TOPIK6
구제,TOPIK6
구조,TOPIK3
구조적구조,TOPIK6
구직,TOPIK5
구직난,TOPIK5
구직자,TOPIK5
구청,TOPIK5
구체적구,TOPIK3
구체화,TOPIK6
구축,TOPIK6
구출,TOPIK6
구태여,TOPIK6
구태의연하,TOPIK6
구토,TOPIK6
구하,TOPIK3
구형,TOPIK6
구호,TOPIK6
국,TOPIK2
국가,TOPIK3
국가적,TOPIK6
국경,TOPIK4
국고,TOPIK6
국군,TOPIK6
국기,TOPIK3
국내,TOPIK2
국내선,TOPIK3
국내외,TOPIK6
국도,TOPIK5
국력,TOPIK6
국립,TOPIK3
국무총리,TOPIK6
국물,TOPIK3
국민,TOPIK3
국방,TOPIK6
국방부,TOPIK5
국보,TOPIK6
국비,TOPIK6
국산,TOPIK4
국세청,TOPIK5
국수,TOPIK2
국악,TOPIK5
국어,TOPIK3
국왕,TOPIK6
국외,TOPIK4
국익,TOPIK5
국장,TOPIK6
국적,TOPIK1
국정,TOPIK6
국제,TOPIK2
국제선,TOPIK4
국제적국,TOPIK6
국제화,TOPIK4
국토,TOPIK5
국하,TOPIK6
국화,TOPIK4
국회,TOPIK4
군,TOPIK4
군계,TOPIK6
군군,TOPIK5
군대,TOPIK3
군데,TOPIK4
군데군데군데군데,TOPIK5
군밤,TOPIK6
군사,TOPIK4
군인,TOPIK2
군중,TOPIK6
굳다,TOPIK4
굳어지다,TOPIK4
굳이,TOPIK4
굳히,TOPIK5
굴,TOPIK4
굴곡,TOPIK6
굴다,TOPIK6
굴뚝,TOPIK5
굴러가,TOPIK5
굴레,TOPIK6
굴리,TOPIK6
굵,TOPIK2
굶다,TOPIK3
굶주,TOPIK6
굶주리다,TOPIK6
굽,TOPIK2
굽히,TOPIK4
궁,TOPIK5
궁궐,TOPIK5
궁극적궁극,TOPIK6
궁금증,TOPIK5
궁금하,TOPIK2
궁리,TOPIK6
궁중,TOPIK5
궂,TOPIK5
궂다,TOPIK6
권,TOPIK1
권고,TOPIK6
권력,TOPIK4
권리,TOPIK4
권위,TOPIK4
권유,TOPIK4
권익,TOPIK6
권장,TOPIK6
권총,TOPIK6
권태,TOPIK6
권투,TOPIK6
권하,TOPIK3
권한,TOPIK6
궤도,TOPIK6
귀,TOPIK1
귀감,TOPIK6
귀걸이,TOPIK2
귀국,TOPIK4
귀납적귀납,TOPIK6
귀다,TOPIK1
귀신,TOPIK4
귀여워하다,TOPIK2
귀엽다,TOPIK2
귀족,TOPIK6
귀중,TOPIK4
귀찮,TOPIK2
귀천,TOPIK6
귀하,TOPIK4
귀하귀,TOPIK3
귀향,TOPIK6
귓속말,TOPIK5
규모,TOPIK4
규범,TOPIK6
규율,TOPIK6
규정,TOPIK4
규제,TOPIK6
규칙,TOPIK2
규칙적규칙,TOPIK3
균,TOPIK6
균형,TOPIK4
귤,TOPIK1
그,TOPIK2
그간,TOPIK6
그거,TOPIK2
그것,TOPIK1
그곳,TOPIK2
그그,TOPIK1
그나마,TOPIK4
그나저나,TOPIK6
그날,TOPIK2
그냥,TOPIK2
그네,TOPIK4
그녀,TOPIK3
그늘,TOPIK4
그다,TOPIK3
그다지,TOPIK4
그대,TOPIK4
그대로,TOPIK2
그동안,TOPIK2
그때,TOPIK2
그때그때그때그때,TOPIK5
그래,TOPIK1
그래도,TOPIK3
그래서,TOPIK1
그래프,TOPIK4
그램,TOPIK3
그러게,TOPIK4
그러나,TOPIK2
그러니까,TOPIK1
그러다,TOPIK3
그러면,TOPIK1
그러므로,TOPIK2
그럭저럭,TOPIK4
그런대로,TOPIK4
그런데,TOPIK1
그럼,TOPIK1
그렇,TOPIK1
그렇지만,TOPIK1
그룹,TOPIK3
그르다그르다,TOPIK6
그릇,TOPIK1
그릇되,TOPIK6
그리,TOPIK1
그리고,TOPIK1
그리움,TOPIK4
그리하여,TOPIK5
그림,TOPIK1
그림자,TOPIK4
그림책,TOPIK4
그립,TOPIK2
그마,TOPIK6
그만,TOPIK2
그만두,TOPIK2
그만하,TOPIK3
그물,TOPIK5
그야말로,TOPIK4
그윽하,TOPIK6
그저,TOPIK1
그저께,TOPIK1
그제그제,TOPIK3
그제야,TOPIK4
