Word,Level
그지없,TOPIK6
그쪽,TOPIK1
그치,TOPIK2
그토록,TOPIK4
극,TOPIK5
극단적극,TOPIK5
극대화,TOPIK6
극복,TOPIK4
극성,TOPIK6
극소수,TOPIK6
극심,TOPIK5
극장,TOPIK1
극적극,TOPIK6
극적적극,TOPIK4
극히,TOPIK4
근,TOPIK3
근간,TOPIK6
근거,TOPIK4
근검절약,TOPIK5
근교,TOPIK4
근대,TOPIK4
근래,TOPIK4
근력,TOPIK6
근로,TOPIK5
근로자,TOPIK4
근면,TOPIK6
근무,TOPIK3
근본,TOPIK4
근본적근본,TOPIK4
근사,TOPIK5
근시안,TOPIK6
근심,TOPIK4
근원,TOPIK5
근육,TOPIK3
근처,TOPIK1
근황,TOPIK5
글,TOPIK1
글쎄요,TOPIK1
글쓴,TOPIK5
글씨,TOPIK2
글자,TOPIK2
긁,TOPIK4
금,TOPIK1
금기,TOPIK5
금년,TOPIK4
금리,TOPIK5
금메달,TOPIK5
금방,TOPIK2
금상첨화,TOPIK6
금세,TOPIK5
금속,TOPIK5
금시,TOPIK6
금액,TOPIK3
금연,TOPIK3
금요일,TOPIK1
금융,TOPIK4
금융업,TOPIK6
금의환향,TOPIK6
금전,TOPIK5
금지,TOPIK2
금지옥엽,TOPIK6
금하,TOPIK4
급,TOPIK5
급격,TOPIK4
급격하,TOPIK5
급급,TOPIK6
급기야,TOPIK6
급등,TOPIK6
급락,TOPIK6
급류,TOPIK6
급변,TOPIK6
급상승,TOPIK5
급성,TOPIK6
급속,TOPIK4
급속도,TOPIK5
급식,TOPIK5
급여,TOPIK5
급증,TOPIK4
급하,TOPIK2
급히,TOPIK4
긋다,TOPIK3
긍정,TOPIK6
긍정적긍정,TOPIK3
긍지,TOPIK6
기,TOPIK2
기간,TOPIK1
기계,TOPIK3
기관,TOPIK3
기관지,TOPIK6
기교,TOPIK6
기구,TOPIK3
기권,TOPIK6
기금,TOPIK6
기기,TOPIK6
기꺼이,TOPIK6
기껏,TOPIK6
기내,TOPIK5
기념,TOPIK3
기념일,TOPIK4
기념품,TOPIK3
기념회,TOPIK6
기능,TOPIK3
기능적기능,TOPIK6
기다,TOPIK2
기다리,TOPIK1
기대,TOPIK3
기대감,TOPIK5
기도,TOPIK3
기독교,TOPIK4
기둥,TOPIK4
기량,TOPIK6
기력,TOPIK6
기록,TOPIK4
기류,TOPIK6
기르,TOPIK2
기름,TOPIK2
기름기,TOPIK5
기리,TOPIK5
기립,TOPIK6
기막히,TOPIK5
기만,TOPIK6
기말,TOPIK5
기말시험,TOPIK3
기묘,TOPIK6
기미,TOPIK6
기반,TOPIK4
기발하,TOPIK5
기법,TOPIK6
기본,TOPIK4
기본적기본,TOPIK4
기부,TOPIK4
기부금,TOPIK5
기분,TOPIK1
기뻐하,TOPIK2
기쁘다,TOPIK1
기쁨,TOPIK2
기사,TOPIK3
기상,TOPIK5
기상청,TOPIK5
기색,TOPIK6
기성세대,TOPIK5
기세,TOPIK5
기숙사,TOPIK1
기술,TOPIK4
기술자,TOPIK3
기습,TOPIK6
기아,TOPIK6
기압,TOPIK5
기약,TOPIK6
기어,TOPIK6
기어가,TOPIK6
기어오,TOPIK6
기어이,TOPIK6
기어코,TOPIK6
기억,TOPIK2
기억력,TOPIK3
기업,TOPIK3
기업가,TOPIK4
